experiment_id,generation,individual_id,age,layer,model_performance
5,13,24,10,2,"{'epoch': 9, 'train_loss': 0.36, 'test_loss': 0.41, 'precision': 0.79, 'recall': 0.88, 'accuracy': 0.87, 'learning_rate': 0.0, 'branches': [110, 490, 222], 'best_f1': 0.83, 'best_auc': 0.95, 'time': 865.51}"
6,0,0,0,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 0.58, 'precision': 0.77, 'recall': 0.77, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [414, 188, 242], 'best_f1': 0.77, 'best_auc': 0.85, 'time': 2.02}"
6,0,1,0,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.75, 'precision': 0.85, 'recall': 0.29, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [359, 430, 333], 'best_f1': 0.43, 'best_auc': 0.82, 'time': 1.19}"
6,0,2,0,0,"{'epoch': 0, 'train_loss': 0.66, 'test_loss': 0.72, 'precision': 0.8, 'recall': 0.49, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [439, 477, 252], 'best_f1': 0.61, 'best_auc': 0.81, 'time': 1.34}"
6,0,3,0,0,"{'epoch': 0, 'train_loss': 0.67, 'test_loss': 0.62, 'precision': 0.66, 'recall': 0.81, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [36, 255, 64], 'best_f1': 0.73, 'best_auc': 0.83, 'time': 1.47}"
6,0,4,0,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.8, 'precision': 0.63, 'recall': 0.45, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [354, 181], 'best_f1': 0.53, 'best_auc': 0.72, 'time': 1.11}"
6,0,5,0,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 0.62, 'precision': 0.72, 'recall': 0.75, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [155, 364, 384], 'best_f1': 0.73, 'best_auc': 0.81, 'time': 0.71}"
6,0,6,0,0,"{'epoch': 0, 'train_loss': 0.72, 'test_loss': 0.65, 'precision': 0.65, 'recall': 0.73, 'accuracy': 0.73, 'learning_rate': 0.0, 'branches': [449, 470], 'best_f1': 0.69, 'best_auc': 0.8, 'time': 0.84}"
6,0,7,0,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 1.01, 'precision': 0.59, 'recall': 0.38, 'accuracy': 0.65, 'learning_rate': 0.0, 'branches': [343, 129, 64], 'best_f1': 0.46, 'best_auc': 0.7, 'time': 1.05}"
6,0,8,0,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.64, 'precision': 0.64, 'recall': 0.83, 'accuracy': 0.73, 'learning_rate': 0.0, 'branches': [71, 165, 387], 'best_f1': 0.72, 'best_auc': 0.81, 'time': 0.42}"
6,0,9,0,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.69, 'precision': 0.58, 'recall': 0.83, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [95, 323, 291], 'best_f1': 0.68, 'best_auc': 0.78, 'time': 1.01}"
6,0,10,0,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.75, 'precision': 0.57, 'recall': 0.72, 'accuracy': 0.66, 'learning_rate': 0.0, 'branches': [355, 342], 'best_f1': 0.64, 'best_auc': 0.75, 'time': 0.73}"
6,0,11,0,0,"{'epoch': 0, 'train_loss': 0.72, 'test_loss': 0.71, 'precision': 0.65, 'recall': 0.71, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [316, 138], 'best_f1': 0.68, 'best_auc': 0.75, 'time': 0.26}"
6,0,12,0,0,"{'epoch': 0, 'train_loss': 0.7, 'test_loss': 0.68, 'precision': 0.67, 'recall': 0.66, 'accuracy': 0.71, 'learning_rate': 0.0, 'branches': [403, 332, 107], 'best_f1': 0.67, 'best_auc': 0.76, 'time': 0.45}"
6,0,13,0,0,"{'epoch': 0, 'train_loss': 0.75, 'test_loss': 0.7, 'precision': 0.65, 'recall': 0.58, 'accuracy': 0.67, 'learning_rate': 0.0, 'branches': [382, 26], 'best_f1': 0.61, 'best_auc': 0.75, 'time': 0.75}"
6,0,14,0,0,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.61, 'precision': 0.82, 'recall': 0.69, 'accuracy': 0.78, 'learning_rate': 0.0, 'branches': [437, 145], 'best_f1': 0.75, 'best_auc': 0.84, 'time': 0.73}"
6,0,15,0,0,"{'epoch': 0, 'train_loss': 0.71, 'test_loss': 0.79, 'precision': 0.65, 'recall': 0.56, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [441, 295, 293], 'best_f1': 0.6, 'best_auc': 0.73, 'time': 1.15}"
6,0,16,0,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.62, 'precision': 0.81, 'recall': 0.57, 'accuracy': 0.75, 'learning_rate': 0.0, 'branches': [254, 481, 422], 'best_f1': 0.67, 'best_auc': 0.84, 'time': 1.55}"
6,0,17,0,0,"{'epoch': 0, 'train_loss': 0.73, 'test_loss': 0.76, 'precision': 0.46, 'recall': 0.95, 'accuracy': 0.55, 'learning_rate': 0.0, 'branches': [229, 221], 'best_f1': 0.62, 'best_auc': 0.73, 'time': 0.37}"
6,0,18,0,0,"{'epoch': 0, 'train_loss': 0.73, 'test_loss': 0.71, 'precision': 0.54, 'recall': 0.71, 'accuracy': 0.64, 'learning_rate': 0.0, 'branches': [287, 179, 89], 'best_f1': 0.62, 'best_auc': 0.72, 'time': 0.37}"
6,0,19,0,0,"{'epoch': 0, 'train_loss': 0.72, 'test_loss': 0.62, 'precision': 0.72, 'recall': 0.8, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [71, 461], 'best_f1': 0.75, 'best_auc': 0.83, 'time': 0.89}"
6,1,5,1,0,"{'epoch': 0, 'train_loss': 0.68, 'test_loss': 0.62, 'precision': 0.72, 'recall': 0.75, 'accuracy': 0.77, 'learning_rate': 0.0, 'branches': [155, 364, 384], 'best_f1': 0.73, 'best_auc': 0.81, 'time': 0.71}"
6,1,10,1,0,"{'epoch': 0, 'train_loss': 0.69, 'test_loss': 0.7, 'precision': 0.62, 'recall': 0.77, 'accuracy': 0.68, 'learning_rate': 0.0, 'branches': [155, 364, 384], 'best_f1': 0.69, 'best_auc': 0.75, 'time': 0.64}"
