experiment_id,generation,individual_id,model_performance
9,0,1,"{'epoch': 0, 'train_loss': 0.9, 'test_loss': 1.03, 'precision': 0.27, 'recall': 0.92, 'accuracy': 0.51, 'learning_rate': 0.0, 'branches': [[1, 1, 8, 15]], 'best_f1': 0.42, 'best_auc': 0.76, 'time': 1.82}"
9,0,2,"{'epoch': 0, 'train_loss': 0.91, 'test_loss': 1.01, 'precision': 0.25, 'recall': 0.98, 'accuracy': 0.5, 'learning_rate': 0.0, 'branches': [[3, 12], [3, 9, 10, 7]], 'best_f1': 0.4, 'best_auc': 0.84, 'time': 1.48}"
9,0,3,"{'epoch': 0, 'train_loss': 0.84, 'test_loss': 0.81, 'precision': 0.37, 'recall': 0.95, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[12, 1, 11]], 'best_f1': 0.54, 'best_auc': 0.87, 'time': 0.96}"
9,1,3,"{'epoch': 0, 'train_loss': 0.84, 'test_loss': 0.81, 'precision': 0.37, 'recall': 0.95, 'accuracy': 0.69, 'learning_rate': 0.0, 'branches': [[12, 1, 11]], 'best_f1': 0.54, 'best_auc': 0.87, 'time': 0.96}"
9,1,0,"{'epoch': 0, 'train_loss': 0.92, 'test_loss': 0.86, 'precision': 0.38, 'recall': 0.9, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[12, 1, 11], [2, 7]], 'best_f1': 0.54, 'best_auc': 0.85, 'time': 1.27}"
9,1,0,"{'epoch': 0, 'train_loss': 0.92, 'test_loss': 0.86, 'precision': 0.38, 'recall': 0.9, 'accuracy': 0.7, 'learning_rate': 0.0, 'branches': [[12, 1, 11], [2, 7]], 'best_f1': 0.54, 'best_auc': 0.85, 'time': 1.27}"
10,0,1,"{'epoch': 0, 'train_loss': 0.67, 'test_loss': 0.42, 'precision': 0.68, 'recall': 0.85, 'accuracy': 0.91, 'learning_rate': 0.0, 'branches': [[4, 3]], 'best_f1': 0.75, 'best_auc': 0.95, 'time': 1.13}"
10,0,2,"{'epoch': 0, 'train_loss': 0.63, 'test_loss': 0.4, 'precision': 0.79, 'recall': 0.79, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[2, 13, 2, 13]], 'best_f1': 0.79, 'best_auc': 0.96, 'time': 1.13}"
10,0,3,"{'epoch': 0, 'train_loss': 0.65, 'test_loss': 0.57, 'precision': 0.85, 'recall': 0.63, 'accuracy': 0.92, 'learning_rate': 0.0, 'branches': [[1, 10], [12, 6, 6]], 'best_f1': 0.72, 'best_auc': 0.94, 'time': 1.5}"
10,1,0,"{'epoch': 0, 'train_loss': 0.61, 'test_loss': 0.41, 'precision': 0.8, 'recall': 0.77, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[8, 2, 9, 5]], 'best_f1': 0.79, 'best_auc': 0.96, 'time': 1.1}"
10,1,2,"{'epoch': 0, 'train_loss': 0.63, 'test_loss': 0.4, 'precision': 0.79, 'recall': 0.79, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[2, 13, 2, 13]], 'best_f1': 0.79, 'best_auc': 0.96, 'time': 1.13}"
10,1,2,"{'epoch': 0, 'train_loss': 0.63, 'test_loss': 0.4, 'precision': 0.79, 'recall': 0.79, 'accuracy': 0.93, 'learning_rate': 0.0, 'branches': [[2, 13, 2, 13]], 'best_f1': 0.79, 'best_auc': 0.96, 'time': 1.13}"
11,0,1,"{'epoch': 0, 'train_loss': 1.14, 'test_loss': 1.13, 'precision': 0.15, 'recall': 0.94, 'accuracy': 0.54, 'learning_rate': 0.0, 'branches': [[3, 12, 12], [4, 4, 15], [12, 7, 9]], 'best_f1': 0.26, 'best_auc': 0.82, 'time': 2.03}"
11,0,2,"{'epoch': 0, 'train_loss': 1.32, 'test_loss': 1.36, 'precision': 0.09, 'recall': 0.98, 'accuracy': 0.24, 'learning_rate': 0.0, 'branches': [[5, 14]], 'best_f1': 0.16, 'best_auc': 0.77, 'time': 0.8}"
11,0,3,"{'epoch': 0, 'train_loss': 1.18, 'test_loss': 1.25, 'precision': 0.09, 'recall': 0.96, 'accuracy': 0.35, 'learning_rate': 0.0, 'branches': [[6, 9], [10, 6, 7], [11, 3, 8, 9]], 'best_f1': 0.17, 'best_auc': 0.8, 'time': 1.68}"
11,1,1,"{'epoch': 0, 'train_loss': 1.14, 'test_loss': 1.13, 'precision': 0.15, 'recall': 0.94, 'accuracy': 0.54, 'learning_rate': 0.0, 'branches': [[3, 12, 12], [4, 4, 15], [12, 7, 9]], 'best_f1': 0.26, 'best_auc': 0.82, 'time': 2.03}"
